Metropolis Method
7,8,9,10,11,12,13,14,15,16,17,18
4,34,108,480,762,1860,1984,2163,1630,665,233,77
Mean,Standard_deviation,Variance
13.3285,1.7662,3.1195
""
Neyman Method
6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,5,24,102,371,904,1685,2247,2129,1489,728,257,49,9
Mean,Standard_deviation,Variance
13.3447,1.7382,3.0214
""
Gibbs Method
8,9,10,11,12,13,14,15,16,17,18
18,123,382,1030,1435,2508,1996,1435,805,246,22
Mean,Standard_deviation,Variance
13.3152,1.7288,2.9887
""
